song_id,song_name,billboard,artist_updated,artist_id,popularity,explicit,song_type
5OsVXAWDMK7v37MwKEDjcD,Cherchez LaGhost,Ghostface Killah,Ghostface Killah,6FD0unjzGQhX3b6eMccMJe,37,TRUE,Collaboration
2uYGuvdxGkrfztVKdSqBpi,I'm Outta Love,Anastacia,Anastacia,2siHvYaxjaW5rKVRiIrMYH,28,FALSE,Collaboration
0IvTGWbNnCiUi9IOF7ye3F,I Like It,Sammie,Sammie,4p07QU02SrLsaORo25h2Lg,41,FALSE,Collaboration
25CnqAR7fzAQbb2SVoSa0b,I Need A Hot Girl,Hot Boys,Hot Boys,0ecnb1WPePfrHg4yfQfmqN,46,FALSE,Collaboration
1cjBan0t4eBk2Y5j17hdyf,Bring It All to Me,Blaque,Blaque,1nSRa2YjjFWJLHGKM07oGQ,49,FALSE,Collaboration
1zIXpzuCC7FM4kECt2eEzu,G'd Up,Snoop Dogg Presents Tha Eastsidaz,Tha Eastsidaz,51FyBBOW464toW099BsW8z,43,TRUE,Collaboration
1wZqdAM2oLrB7UJTS4pIqf,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",Ginuwine',7r8RF1tN2A4CiGEplkp1oP,33,FALSE,Collaboration
6NBaOUmCVpNAaqBDFiJkCn,When I Said I Do,Clint Black,Clint Black,3Ay15wt0QChT4Kapsuw5Jt,51,FALSE,Collaboration
3Th5HBAlRZF0oN31ubxHA9,"Live, Laugh, Love",Clay Walker,Clay Walker,4MPkNgar5uTd8Sqvrr7par,44,FALSE,Collaboration
41COCTgOEShy04CwJm0LCt,You've Got A Way,Shania Twain,Shania Twain,5e4Dhzv426EvQe3aDb64jL,41,FALSE,Collaboration
6FyrZ3C2n3IDleVQTThFoo,Better Than Me,Terry Dexter,Terry Dexter,0tcTyQkSJfYkSk8cZPEZxj,7,FALSE,Collaboration
6TZIPLYJLGXKw7Q4JJ3ujF,She's Always Right,Clay Walker,Clay Walker,4MPkNgar5uTd8Sqvrr7par,25,FALSE,Collaboration
7F0EfusAMK0dpo7gscOyfq,You,Jesse Powell,Jesse Powell,4ryyCNxkhfBSXHx4k2lo3T,24,FALSE,Collaboration
00i2HU7TEzzftShjRrDSEF,Changes,2Pac,2Pac,1ZwdS5xdxEREPySFridCfh,69,TRUE,Collaboration
1pLbd91sslN51VJL83pm51,Unsent,Alanis Morissette,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,38,FALSE,Collaboration
